Timestamp,Uid,Time,Name,Target,Info,State,Version
4/5/2017 16:40:14,Windows-Firefox-0838658060845825,1491424812142,mousedown,td#sc0.sudoku-cell,"{""which"":1,""pageX"":576,""pageY"":186}",#puzzle=0430000130100000&answer=0000030000000003&work=&seed=7&gentime=1491424801288&elapsed=9243&size=2,A
4/5/2017 16:40:16,Windows-Firefox-0838658060845825,1491424814535,mousedown,div.sudoku-answer.nk1,"{""which"":1,""pageX"":408,""pageY"":188}",#puzzle=0430000130100000&answer=1000030000000003&work=&seed=7&gentime=1491424801288&elapsed=10889&size=2,A
4/5/2017 16:40:17,Windows-Firefox-0838658060845825,1491424815486,mousedown,div#sn13.sudoku-answer,"{""which"":1,""pageX"":655,""pageY"":344}",#puzzle=0430000130100000&answer=1000030000000003&work=&seed=7&gentime=1491424801288&elapsed=10889&size=2,A
4/5/2017 16:40:21,Windows-Firefox-0838658060845825,1491424819248,mousedown,div.sudoku-answer.nk4,"{""which"":1,""pageX"":409,""pageY"":300}",#puzzle=0430000130100000&answer=1000030000000103&work=&seed=7&gentime=1491424801288&elapsed=14236&size=2,A
4/5/2017 16:40:22,Windows-Firefox-0838658060845825,1491424820113,mousedown,div#sn12.sudoku-answer,"{""which"":1,""pageX"":583,""pageY"":341}",#puzzle=0430000130100000&answer=1000030000000103&work=&seed=7&gentime=1491424801288&elapsed=14236&size=2,A
4/5/2017 16:40:24,Windows-Firefox-0838658060845825,1491424822470,mousedown,div#sn11.sudoku-answer,"{""which"":1,""pageX"":758,""pageY"":299}",#puzzle=0430000130100000&answer=1000030000004103&work=&seed=7&gentime=1491424801288&elapsed=18900&size=2,A
4/5/2017 16:40:25,Windows-Firefox-0838658060845825,1491424823881,mousedown,div.sudoku-answer.nk4,"{""which"":1,""pageX"":397,""pageY"":300}",#puzzle=0430000130100000&answer=1000030000004103&work=&seed=7&gentime=1491424801288&elapsed=21223&size=2,A
4/5/2017 16:40:27,Windows-Firefox-0838658060845825,1491424825005,mousedown,div#sn11.sudoku-answer,"{""which"":1,""pageX"":740,""pageY"":317}",#puzzle=0430000130100000&answer=1000030000004103&work=&seed=7&gentime=1491424801288&elapsed=21223&size=2,A
4/5/2017 16:40:27,Windows-Firefox-0838658060845825,1491424825779,mousedown,div#sn6.sudoku-answer,"{""which"":1,""pageX"":705,""pageY"":265}",#puzzle=0430000130100000&answer=1000030000044103&work=&seed=7&gentime=1491424801288&elapsed=23727&size=2,A
4/5/2017 16:40:28,Windows-Firefox-0838658060845825,1491424826835,mousedown,table.numberkey tr,"{""which"":1,""pageX"":384,""pageY"":286}",#puzzle=0430000130100000&answer=1000030000044103&work=&seed=7&gentime=1491424801288&elapsed=24520&size=2,A
4/5/2017 16:40:29,Windows-Firefox-0838658060845825,1491424827426,mousedown,div.sudoku-answer.nk4,"{""which"":1,""pageX"":399,""pageY"":303}",#puzzle=0430000130100000&answer=1000030000044103&work=&seed=7&gentime=1491424801288&elapsed=24520&size=2,A
4/5/2017 16:40:30,Windows-Firefox-0838658060845825,1491424828600,mousedown,div#sn6.sudoku-answer,"{""which"":1,""pageX"":698,""pageY"":243}",#puzzle=0430000130100000&answer=1000030000044103&work=&seed=7&gentime=1491424801288&elapsed=24520&size=2,A
4/5/2017 16:40:32,Windows-Firefox-0838658060845825,1491424830319,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":407,""pageY"":234}",#puzzle=0430000130100000&answer=1000034000044103&work=&seed=7&gentime=1491424801288&elapsed=27345&size=2,A
4/5/2017 16:40:33,Windows-Firefox-0838658060845825,1491424831169,mousedown,div#sn3.sudoku-answer,"{""which"":1,""pageX"":751,""pageY"":192}",#puzzle=0430000130100000&answer=1000034000044103&work=&seed=7&gentime=1491424801288&elapsed=27345&size=2,A
4/5/2017 16:40:34,Windows-Firefox-0838658060845825,1491424832196,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":399,""pageY"":212}",#puzzle=0430000130100000&answer=1002034000044103&work=&seed=7&gentime=1491424801288&elapsed=29961&size=2,A
4/5/2017 16:40:35,Windows-Firefox-0838658060845825,1491424833197,mousedown,div#sn14.sudoku-answer,"{""which"":1,""pageX"":696,""pageY"":348}",#puzzle=0430000130100000&answer=1002034000044103&work=&seed=7&gentime=1491424801288&elapsed=29961&size=2,A
4/5/2017 16:40:36,Windows-Firefox-0838658060845825,1491424834279,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":409,""pageY"":229}",#puzzle=0430000130100000&answer=1002034000044123&work=&seed=7&gentime=1491424801288&elapsed=31938&size=2,A
4/5/2017 16:40:37,Windows-Firefox-0838658060845825,1491424835553,mousedown,div#sn9.sudoku-answer,"{""which"":1,""pageX"":638,""pageY"":286}",#puzzle=0430000130100000&answer=1002034000044123&work=&seed=7&gentime=1491424801288&elapsed=31938&size=2,A
4/5/2017 16:40:38,Windows-Firefox-0838658060845825,1491424836368,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":407,""pageY"":230}",#puzzle=0430000130100000&answer=1002034002044123&work=&seed=7&gentime=1491424801288&elapsed=34288&size=2,A
4/5/2017 16:40:39,Windows-Firefox-0838658060845825,1491424837152,mousedown,div#sn4.sudoku-answer,"{""which"":1,""pageX"":610,""pageY"":242}",#puzzle=0430000130100000&answer=1002034002044123&work=&seed=7&gentime=1491424801288&elapsed=34288&size=2,A
4/5/2017 16:40:39,Windows-Firefox-0838658060845825,1491424837189,victory,document,"{""elapsed"":35887,""seed"":""7""}",#puzzle=0430000130100000&answer=1002034002044123&work=&seed=7&gentime=1491424801288&elapsed=34288&size=2,A
4/5/2017 16:40:54,Windows-Firefox-0838658060845825,1491424852569,mousedown,input#nextbutton,"{""which"":1,""pageX"":782,""pageY"":393}",#puzzle=0430000130100000&answer=1002234002044123&work=&seed=7&gentime=1491424801288&elapsed=35933&size=2,A
4/5/2017 16:40:54,Windows-Firefox-0838658060845825,1491424852694,setupgame,document,"{""seed"":8}",#puzzle=0430000130100000&answer=1002234002044123&work=&seed=7&gentime=1491424801288&elapsed=35933&size=2,A
4/5/2017 16:40:58,Windows-Firefox-0838658060845825,1491424855992,mousedown,div.sudoku-answer.nk2,"{""which"":1,""pageX"":406,""pageY"":229}",#puzzle=0020300010000030&answer=&work=&seed=8&gentime=1491424852753&elapsed=0&size=2,A
4/5/2017 16:40:59,Windows-Firefox-0838658060845825,1491424857694,mousedown,div#sn5.sudoku-answer,"{""which"":1,""pageX"":636,""pageY"":242}",#puzzle=0020300010000030&answer=&work=&seed=8&gentime=1491424852753&elapsed=0&size=2,A
4/5/2017 16:41:01,Windows-Firefox-0838658060845825,1491424859269,mousedown,div.sudoku-answer.nk1,"{""which"":1,""pageX"":412,""pageY"":202}",#puzzle=0020300010000030&answer=0000020000000000&work=&seed=8&gentime=1491424852753&elapsed=4985&size=2,A
